AreaID|ManagedAreaName|Year|ParameterName|ShellType|SizeClass|HabitatType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|2016|PercentLive_pct|Live Oyster Shells||Restored|5|16.66666667|46.15384615|40|33.395643782|13.0769084846312|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|2017|PercentLive_pct|Live Oyster Shells||Restored|362|4.76190476|100|80|73.1038562181768|24.5649423365687|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|2018|PercentLive_pct|Live Oyster Shells||Natural|15|0|22|6|7.46666666666667|5.986492732652|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2018|PercentLive_pct|Live Oyster Shells||Restored|291|16.66666667|100|87.5|78.603536734433|21.5294154493007|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|2019|PercentLive_pct|Live Oyster Shells||Natural|26|0|3|0|0.153846153846154|0.612686392361227|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2019|PercentLive_pct|Live Oyster Shells||Restored|388|7.6923076|100|94.9358974|85.8418354457217|19.4368032422645|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|2020|PercentLive_pct|Live Oyster Shells||Natural|35|0|15|0|1.85714285714286|3.48224789757537|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2020|PercentLive_pct|Live Oyster Shells||Restored|44|50|100|97.88306445|95.6356468568182|8.96737972424191|RESTORE Oyster Cultch Recovery|5007
2|Apalachicola Bay Aquatic Preserve|2021|PercentLive_pct|Live Oyster Shells||Natural|33|0|8|0|1.24242424242424|2.10698693384509|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2021|PercentLive_pct|Live Oyster Shells||Restored|423|8.33333333|100|97.6744186|90.2641097925296|14.9812941905808|NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007
2|Apalachicola Bay Aquatic Preserve|2023|PercentLive_pct|Live Oyster Shells||Natural|40|0|37|5|8.55|10.3551052688133|Apalachicola Intertidal Oyster Project|5010
2|Apalachicola Bay Aquatic Preserve|2023|PercentLive_pct|Live Oyster Shells||Restored|138|25|100|100|87.6498258185507|18.2378120064582|NRDA Oyster Cultch Recovery Project|4044
2|Apalachicola Bay Aquatic Preserve|2024|PercentLive_pct|Live Oyster Shells||Natural|35|0|71|2|16.4571428571429|20.687226603337|Apalachicola Intertidal Oyster Project|5010
3|Apalachicola National Estuarine Research Reserve|2016|PercentLive_pct|Live Oyster Shells||Restored|5|16.66666667|46.15384615|40|33.395643782|13.0769084846312|NRDA Oyster Cultch Recovery Project|4044
