AreaID|ManagedAreaName|Month|ParameterName|ShellType|SizeClass|HabitatType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|1|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|455|75|120|80|82.7362637362637|8.93667783234848|Apalachicola Bay Oyster Size Class Monitoring, RESTORE Oyster Cultch Recovery|5007, 10002
2|Apalachicola Bay Aquatic Preserve|1|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|5408|25|74|35|41.0153476331361|14.7288778283914|Apalachicola Bay Oyster Size Class Monitoring, RESTORE Oyster Cultch Recovery|5007, 10002
2|Apalachicola Bay Aquatic Preserve|1|ShellHeight_mm|Live Oyster Shells||Restored|4453|1|24|15|15.6516954861891|5.00167940571973|Apalachicola Bay Oyster Size Class Monitoring, RESTORE Oyster Cultch Recovery|5007, 10002
2|Apalachicola Bay Aquatic Preserve|2|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|646|75|105|80|83.2894736842105|8.86460328218185|Apalachicola Bay Oyster Size Class Monitoring|10002
2|Apalachicola Bay Aquatic Preserve|2|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|4366|25|70|40|43.9738891433807|15.3063637265598|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|2|ShellHeight_mm|Live Oyster Shells||Restored|1646|1|20|20|17.4665856622114|3.07926314671223|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|3|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|513|75|111|80|82.9200779727096|8.6317594885926|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|3|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|6702|25|74|30|36.7899134586691|12.8913022423619|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|3|ShellHeight_mm|Live Oyster Shells||Restored|6623|2|24|15|15.8638079420202|4.67866816351729|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|4|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|853|75|135|82|86.1547479484174|11.152884070401|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007, 10002
2|Apalachicola Bay Aquatic Preserve|4|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|9788|25|74|35|39.3922149570903|13.1171334296964|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007, 10002
2|Apalachicola Bay Aquatic Preserve|4|ShellHeight_mm|Live Oyster Shells||Restored|4009|0|24|15|15.798204040908|4.5807172828742|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007, 10002
2|Apalachicola Bay Aquatic Preserve|5|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|1770|75|125|85|84.8881355932203|9.44951330911968|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|5|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|13072|25|73|35|40.609164626683|14.2645481241527|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|5|ShellHeight_mm|Live Oyster Shells||Restored|2035|3|24|20|17.8599508599509|2.9848096242741|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|6|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|6051|75|160|85|87.1566683192861|10.9413725281107|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|6|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|25867|25|74|45|44.4867591912475|13.9527876633233|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007, 10002
2|Apalachicola Bay Aquatic Preserve|6|ShellHeight_mm|Live Oyster Shells||Restored|9144|1|24|11|12.2187226596675|6.49049275415162|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007, 10002
2|Apalachicola Bay Aquatic Preserve|7|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|532|75|170|80|82.5770676691729|10.2563966743284|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|7|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|3996|25|74|44|45.3418418418418|13.3296233849833|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007, 10002
2|Apalachicola Bay Aquatic Preserve|7|ShellHeight_mm|Live Oyster Shells||Restored|1439|1|24|15|15.6164002779708|4.58046989055135|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery|4044, 5007, 10002
2|Apalachicola Bay Aquatic Preserve|8|ShellHeight_mm|Live Oyster Shells|>75mm|Natural|17|76|133|84|89.1176470588235|14.1371954120203|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling|5073
2|Apalachicola Bay Aquatic Preserve|8|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|1549|75|147|80|83.249838605552|9.54156934243894|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|8|ShellHeight_mm|Live Oyster Shells|25-75mm|Natural|86|25|72|41|41.8383720930233|11.8525069932324|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle|5071, 5073
2|Apalachicola Bay Aquatic Preserve|8|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|10384|25|74|45|47.2097457627119|13.6941424024568|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|8|ShellHeight_mm|Live Oyster Shells||Natural|251|2|24|14|13.7956175298805|5.33692989621669|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle|5071, 5073
2|Apalachicola Bay Aquatic Preserve|8|ShellHeight_mm|Live Oyster Shells||Restored|3943|3|23|15|17.0385493279229|2.52637736152879|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|9|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|3714|75|140|80|82.9787291330102|8.89867733329617|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|9|ShellHeight_mm|Live Oyster Shells|25-75mm|Restored|18673|25|73|50|48.8286831253682|13.7771717918193|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|9|ShellHeight_mm|Live Oyster Shells||Restored|6022|1|24|15|13.9980073065427|5.08685525094586|Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project|4044, 10002
2|Apalachicola Bay Aquatic Preserve|10|ShellHeight_mm|Dead Oyster Shells|>75mm|Natural|16|75.94|106.17|82.77|85.545625|8.68893546893596|Historical Oyster Body Size (HOBS) Study|5035
2|Apalachicola Bay Aquatic Preserve|10|ShellHeight_mm|Dead Oyster Shells|25-75mm|Natural|1460|25|74.6|35.435|37.7455616438356|10.1468715619389|Historical Oyster Body Size (HOBS) Study|5035
2|Apalachicola Bay Aquatic Preserve|10|ShellHeight_mm|Dead Oyster Shells||Natural|488|7.55|24.98|21.82|21.3472336065574|3.01121564179892|Historical Oyster Body Size (HOBS) Study|5035
2|Apalachicola Bay Aquatic Preserve|10|ShellHeight_mm|Live Oyster Shells|>75mm|Restored|2888|75|115|80|85.0190443213297|9.67114184611436|Apalachicola Bay Oyster Size Class Monitoring|10002
