AreaID|ManagedAreaName|ParameterName|RelativeDepth|ActivityType|SufficientData|N_Data|N_Years|EarliestYear|LatestYear|LastSampleDate|Median|Independent|tau|p|SennSlope|SennIntercept|ChiSquared|pChiSquared|Trend|Website
1|Alligator Harbor Aquatic Preserve|Chlorophyll a, Corrected for Pheophytin|All|Lab|FALSE|284|8|2012|2023|2023-04-04T11:42:00Z|5|||NA||||||1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a, Corrected for Pheophytin|Surface|Lab|FALSE|284|8|2012|2023|2023-04-04T11:42:00Z|5|||NA||||||0
1|Alligator Harbor Aquatic Preserve|Chlorophyll a, Uncorrected for Pheophytin|All|All|TRUE|1052|17|2001|2023|2023-04-04T11:42:00Z|6|TRUE|0.3035|0.0000|0.160189075630252|3.70126488095238|9.0529|0.617|1|0
1|Alligator Harbor Aquatic Preserve|Chlorophyll a, Uncorrected for Pheophytin|All|Lab|TRUE|1052|17|2001|2023|2023-04-04T11:42:00Z|6|TRUE|0.3035|0.0000|0.160189075630252|3.70126488095238|9.0529|0.617|1|1
1|Alligator Harbor Aquatic Preserve|Chlorophyll a, Uncorrected for Pheophytin|Surface|All|TRUE|1052|17|2001|2023|2023-04-04T11:42:00Z|6|TRUE|0.3035|0.0000|0.160189075630252|3.70126488095238|9.0529|0.617|1|0
1|Alligator Harbor Aquatic Preserve|Chlorophyll a, Uncorrected for Pheophytin|Surface|Lab|TRUE|1052|17|2001|2023|2023-04-04T11:42:00Z|6|TRUE|0.3035|0.0000|0.160189075630252|3.70126488095238|9.0529|0.617|1|0
1|Alligator Harbor Aquatic Preserve|Colored Dissolved Organic Matter|All|Lab|TRUE|319|17|2001|2023|2023-04-04T11:42:00Z|8|TRUE|0.0891|0.5787|0.0634920634920635|6.88049450549451|4.9051|0.4276|0|1
1|Alligator Harbor Aquatic Preserve|Colored Dissolved Organic Matter|Surface|Lab|TRUE|319|17|2001|2023|2023-04-04T11:42:00Z|8|TRUE|0.0891|0.5787|0.0634920634920635|6.88049450549451|4.9051|0.4276|0|0
1|Alligator Harbor Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|7608|26|1998|2023|2023-01-20T00:00:00Z|7.2|TRUE|-0.1595|0.0002|-0.0329999999999998|7.72295238095238|5.9689|0.8754|-1|1
1|Alligator Harbor Aquatic Preserve|Dissolved Oxygen|Bottom|Field|TRUE|2443|25|1998|2022|2022-12-07T14:30:00Z|7.1|TRUE|-0.2447|0.0002|-0.0509116161616161|7.83875289109163|7.9453|0.7182|-1|0
1|Alligator Harbor Aquatic Preserve|Dissolved Oxygen|Surface|Field|TRUE|4865|26|1998|2023|2023-01-20T00:00:00Z|7.3|TRUE|-0.1758|0.0000|-0.0375000000000001|7.74915154950869|6.0196|0.8721|-1|0
1|Alligator Harbor Aquatic Preserve|Dissolved Oxygen Saturation|All|Field|FALSE|131|8|2013|2022|2022-12-07T14:30:00Z|96.8|||NA||||||1
1|Alligator Harbor Aquatic Preserve|Dissolved Oxygen Saturation|Bottom|Field|FALSE|49|7|2016|2022|2022-12-07T14:30:00Z|97.2|||NA||||||0
1|Alligator Harbor Aquatic Preserve|Dissolved Oxygen Saturation|Surface|Field|FALSE|82|8|2013|2022|2022-12-07T14:30:00Z|95.35|||NA||||||0
1|Alligator Harbor Aquatic Preserve|pH|All|Field|TRUE|4735|26|1998|2023|2023-01-20T00:00:00Z|8.1|TRUE|-0.171|0.0001|-0.00801197066822064|8.13300777041586|10.1245|0.5192|-1|1
1|Alligator Harbor Aquatic Preserve|pH|Bottom|Field|TRUE|114|12|2005|2022|2022-12-07T14:30:00Z|8.1|TRUE|-0.587|0.0000|-0.0525000000000002|9.00916666666667|4.324|0.9316|-1|0
1|Alligator Harbor Aquatic Preserve|pH|Surface|Field|TRUE|4323|26|1998|2023|2023-01-20T00:00:00Z|8.1|TRUE|-0.1858|0.0000|-0.00828595669036841|8.12485592532467|7.8175|0.7296|-1|0
1|Alligator Harbor Aquatic Preserve|Salinity|All|All|TRUE|8844|27|1996|2023|2023-01-20T00:00:00Z|31.2|TRUE|-0.0949|0.0233|-0.0403745318352075|31.8064310200789|5.5566|0.9013|-1|1
1|Alligator Harbor Aquatic Preserve|Salinity|All|Field|TRUE|8844|27|1996|2023|2023-01-20T00:00:00Z|31.2|TRUE|-0.0949|0.0233|-0.0403745318352075|31.8064310200789|5.5566|0.9013|-1|0
1|Alligator Harbor Aquatic Preserve|Salinity|Bottom|All|TRUE|2496|22|1998|2022|2022-12-07T14:30:00Z|31.4|TRUE|-0.0488|0.2734|-0.0337960258304235|31.5278493107769|9.1596|0.6072|0|0
1|Alligator Harbor Aquatic Preserve|Salinity|Bottom|Field|TRUE|2496|22|1998|2022|2022-12-07T14:30:00Z|31.4|TRUE|-0.0488|0.2734|-0.0337960258304235|31.5278493107769|9.1596|0.6072|0|0
1|Alligator Harbor Aquatic Preserve|Salinity|Surface|All|TRUE|6054|27|1996|2023|2023-01-20T00:00:00Z|31|TRUE|-0.0891|0.0328|-0.0401253132832082|31.8007379529973|6.3937|0.8458|-1|0
1|Alligator Harbor Aquatic Preserve|Salinity|Surface|Field|TRUE|6054|27|1996|2023|2023-01-20T00:00:00Z|31|TRUE|-0.0891|0.0328|-0.0401253132832082|31.8007379529973|6.3937|0.8458|-1|0
1|Alligator Harbor Aquatic Preserve|Secchi Depth|Surface|Field|TRUE|2344|26|1998|2023|2023-04-04T11:42:00Z|1.1|TRUE|-0.0215|0.6515|-0.000968757815126052|1.13148743082314|10.8534|0.4556|0|1
1|Alligator Harbor Aquatic Preserve|Total Nitrogen|All|Lab|TRUE|1370|18|2001|2023|2023-04-04T11:42:00Z|0.115|TRUE|0.1228|0.0671|0.00641053358843537|0.153824764405762|5.3404|0.9136|0|1
1|Alligator Harbor Aquatic Preserve|Total Nitrogen|Surface|Lab|TRUE|1370|18|2001|2023|2023-04-04T11:42:00Z|0.115|TRUE|0.1228|0.0671|0.00641053358843537|0.153824764405762|5.3404|0.9136|0|0
1|Alligator Harbor Aquatic Preserve|Total Phosphorus|All|Lab|TRUE|990|18|2001|2023|2023-04-04T11:42:00Z|4e-05|TRUE|0.5037|0.0000|0.000307613636363636|-0.0146145234203297|3.4332|0.9837|2|1
