AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|SampleDate|ParameterName|Year|Month|SpeciesRichness
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1525B|2011-03-22T00:00:00Z|Species Richness|2011|3|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1526B|2017-03-28T00:00:00Z|Species Richness|2017|3|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1529B|2012-05-15T00:00:00Z|Species Richness|2012|5|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1530B|2013-06-23T00:00:00Z|Species Richness|2013|6|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1532B|2017-06-28T00:00:00Z|Species Richness|2017|6|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1533B|2014-10-10T00:00:00Z|Species Richness|2014|10|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1536B|2012-06-14T00:00:00Z|Species Richness|2012|6|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1538B|2013-07-23T00:00:00Z|Species Richness|2013|7|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1539B|2013-07-23T00:00:00Z|Species Richness|2013|7|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1540B|2010-10-29T00:00:00Z|Species Richness|2010|10|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1545B|2010-10-30T00:00:00Z|Species Richness|2010|10|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1546B|2015-10-07T00:00:00Z|Species Richness|2015|10|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1547B|2012-02-05T00:00:00Z|Species Richness|2012|2|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1550B|2013-08-13T00:00:00Z|Species Richness|2013|8|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1575B|2011-07-28T00:00:00Z|Species Richness|2011|7|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1576B|2011-08-20T00:00:00Z|Species Richness|2011|8|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1583B|2010-09-05T00:00:00Z|Species Richness|2010|9|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1584B|2012-05-07T00:00:00Z|Species Richness|2012|5|2
6|Biscayne Bay Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1591B|2012-07-25T00:00:00Z|Species Richness|2012|7|2
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1455B|2009-04-11T00:00:00Z|Species Richness|2009|4|2
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1458B|2015-12-01T00:00:00Z|Species Richness|2015|12|2
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|379|Nonindigenous Aquatic Species Database|1459B|2010-07-10T00:00:00Z|Species Richness|2010|7|2
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|915|NPS South Florida/Caribbean Inventory and Monitoring Network: Coral Reef Monitoring|5666839|2014-10-22T00:00:00Z|Species Richness|2014|10|200
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|915|NPS South Florida/Caribbean Inventory and Monitoring Network: Coral Reef Monitoring|5666841|2014-10-22T00:00:00Z|Species Richness|2014|10|200
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1465B|2011-04-10T00:00:00Z|Species Richness|2011|4|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1465B|2012-07-07T00:00:00Z|Species Richness|2012|7|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1474B|2010-07-11T00:00:00Z|Species Richness|2010|7|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1476B|2011-07-03T00:00:00Z|Species Richness|2011|7|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1491B|2011-06-26T00:00:00Z|Species Richness|2011|6|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1493B|2012-07-22T00:00:00Z|Species Richness|2012|7|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1495B|2011-06-22T00:00:00Z|Species Richness|2011|6|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1496B|2013-04-26T00:00:00Z|Species Richness|2013|4|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1498B|2011-06-25T00:00:00Z|Species Richness|2011|6|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1500B|2009-08-10T00:00:00Z|Species Richness|2009|8|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1502B|2011-06-25T00:00:00Z|Species Richness|2011|6|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1508B|2010-07-28T00:00:00Z|Species Richness|2010|7|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1508B|2010-07-29T00:00:00Z|Species Richness|2010|7|2
12|Southeast Florida Coral Reef Ecosystem Conservation Area|379|Nonindigenous Aquatic Species Database|1508B|2010-08-28T00:00:00Z|Species Richness|2010|8|2
