AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|MonitoringID|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|LastSampleDate|Median|SufficientData|Independent|tau|p|SennSlope|SennIntercept|ChiSquared|pChiSquared|Trend|Website
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Dissolved Oxygen|3|bottom|11557|2|2007|2008|2008-08-25T09:00:00Z|8|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Dissolved Oxygen Saturation|3|bottom|11557|2|2007|2008|2008-08-25T09:00:00Z|105.6|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|pH|3|bottom|13034|2|2007|2008|2008-08-25T09:00:00Z|7.9|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Salinity|3|bottom|13034|2|2007|2008|2008-08-25T09:00:00Z|34|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Turbidity|1|bottom|12558|2|2007|2008|2008-08-25T09:00:00Z|10|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|Water Temperature|2|bottom|13034|2|2007|2008|2008-08-25T09:00:00Z|20.9|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Dissolved Oxygen|1|bottom|58521|3|2019|2021|2021-12-15T21:45:00Z|7.1|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Dissolved Oxygen Saturation|1|bottom|58521|3|2019|2021|2021-12-15T21:45:00Z|95.2|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|pH|1|bottom|58321|3|2019|2021|2021-12-31T23:45:00Z|8|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Salinity|1|bottom|60502|3|2019|2021|2021-12-31T23:45:00Z|30.5|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Turbidity|2|bottom|61022|3|2019|2021|2021-12-31T23:45:00Z|6|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|Water Temperature|1|bottom|69120|3|2019|2021|2021-12-31T23:45:00Z|23.5|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Dissolved Oxygen|2|bottom|34179|3|2019|2021|2021-01-29T11:15:00Z|6.5|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|Dissolved Oxygen Saturation|2|bottom|34179|3|2019|2021|2021-01-29T11:15:00Z|90.2|FALSE|||NA||||||1
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|pH|2|bottom|34854|3|2019|2021|2021-01-29T11:15:00Z|8|FALSE|||NA||||||1
